Date,Value,Category,SubCategory,Source
2008,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2009,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2010,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2011,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2012,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2013,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2014,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2015,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2016,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2017,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2018,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2019,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2020,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
2021,0,Transport-Road Network,Road Kilometerage-Nuwara Eliya-Expressways,cbsl
